Target_Angle,Wavelength_nm,Period_nm
-48.72700594236812,654.1709733089259,580.2666436993386
-77.53571532049581,548.3551131158112,374.39427323080287
-66.59969709057026,458.6396831896557,333.1614788482004
-59.93292420985183,620.9925359830278,478.36393106540544
-37.80093202212183,525.6034407049888,571.6934461642978
-37.79972601681013,578.3882450357492,629.1240053063148
-32.90418060840997,432.17958705218166,530.3769956617057
-73.30880728874675,589.4751968547977,410.2694903476155
-60.05575058716044,512.0651466835373,393.96679762115775
-65.40362888980228,500.2569249155483,366.78585840882863
-31.02922471479012,693.9746736333404,897.5208962723764
-78.49549260809971,529.7291928280741,360.39345377483875
-71.62213204002109,603.4115134347203,423.89383107561855
-40.61695553391381,588.3182606721523,602.477494086472
-39.09124836035503,431.2910652655473,455.9893188936494
-39.17022549267169,624.3782611192948,659.0163163207891
-45.21211214797688,496.94776103007297,466.80191849983885
-56.2378215816119,639.6818647590205,512.965423021982
-51.59725093210579,582.2922347846147,495.3589737364458
-44.5614570099021,495.1274469860469,470.42502030692583
-60.59264473611897,506.8878880993213,387.9067373876539
-36.97469303260209,619.4522108999082,686.6069557684269
-44.60723242676091,565.0177945368646,536.3934838419024
-48.318092164684586,600.5053122013945,536.0351313315937
-52.8034992108518,447.4954963225565,374.52014758874867
-69.25879806965068,636.0930016685256,453.4502952567057
-39.98368910791799,496.1173956745104,514.722418072299
-55.71172192068058,585.958380147302,472.8062280638477
-59.620728443102124,434.4039475726026,335.69461503939254
-32.32252063599989,496.4260723470901,618.9644292543028
-60.37724259507192,594.6601879199925,456.045934900858
-38.526206184364575,482.26183968707517,516.1696505725882
-33.25257964926398,664.093659024945,807.4123144332876
-77.44427686266667,598.3685198330261,408.6860545005348
-78.28160165372796,661.0835179890387,450.1035646144312
-70.41986740582306,518.6172106753362,366.9650318019848
-45.23068845866854,410.1955427874025,385.18831947407773
-34.883605700319194,572.8419890065309,667.7516984822637
-64.21165132560785,501.75805081761166,371.5045208200629
-52.007624686980066,534.456512776706,452.10969794921016
-36.10191174223894,604.3330641768247,683.7623327490977
-54.758845505563514,610.1994001212615,498.0829378703983
-31.71942605576092,408.26692445974464,517.6846935738243
-75.4660201039391,630.790801851884,434.42938488809153
-42.93899908000085,548.0556744868237,536.3477457638437
-63.1261142176991,567.009631997365,423.772282208668
-45.58555380447055,489.39825555695575,456.7649690322534
-56.00340105889054,526.2501358001743,423.16463062646454
-57.33551396716398,613.1125401937995,485.530543237969
-39.24272277627635,633.0141408832776,667.0957632229528
