angle_deg,period_nm
-61.27299405763188,417.5081372836237
-32.46428467950419,682.3248728097303
-43.40030290942975,533.858027057068
-50.06707579014817,477.61861480607206
-72.19906797787817,385.53221081266383
-72.20027398318987,385.0737401052723
-77.09581939159003,376.19899382290333
-36.691192711253244,613.4952880430683
-49.94424941283956,479.4109141478478
-44.59637111019772,522.6458735597911
-78.97077528520988,373.6917065367913
-31.504507391900283,702.0625322688452
-38.377867959978914,590.4676591322109
-69.38304446608619,391.96898112107954
-70.90875163964498,387.8764145943975
-70.82977450732831,388.19394860157803
-64.78788785202312,405.1629968690222
-53.7621784183881,454.39192721777675
-58.40274906789421,430.18855305256164
-65.4385429900979,403.3333979271519
-49.40735526388103,483.4988877896581
-73.02530696739791,383.8175424219591
-65.3927675732391,402.78547065864336
-61.681907835315414,417.04857509545855
-57.1965007891482,436.09207790196456
-40.74120193034932,562.155268976057
-70.01631089208202,389.8045390510967
-54.28827807931942,451.6440005964382
-50.379271556897876,476.1651184452943
-77.6774793640001,374.7560288877962
-49.62275740492808,481.6116839090235
-71.47379381563542,387.22688277679134
-76.74742035073602,376.6327594164948
-32.55572313733334,682.3118828669458
-31.718398346272032,697.2909515972522
-39.580132594176945,575.962142391767
-64.76931154133146,404.4369316884224
-75.1163942996808,380.3132066113115
-45.788348674392154,512.3199982077958
-57.992375313019934,432.2783022918469
-73.89808825776106,380.88575328496097
-55.241154494436486,446.4345326587668
-78.28057394423908,373.9322184810888
-34.5339798960609,647.0860528575778
-67.06100091999916,398.3162952100781
-46.8738857823009,501.91285136003995
-64.41444619552945,406.9861647094838
-53.99659894110946,453.6095953869214
-52.66448603283602,461.60926097687775
-70.75727722372365,388.3676717170498
-31.52076861177207,700.3487401716618
-41.24335883194427,556.7241501215289
-33.02505292179055,672.5939430329333
-35.25863247861756,634.2928054424872
-50.10500105944574,478.5613903833151
-33.906288248844156,658.6816155363708
-75.57537489740403,378.58601697969516
-70.20085687904275,390.54509148044934
-77.73863555447309,375.26020843389813
-63.733483461836784,408.73055519924657
-60.5661355155259,420.7436055664034
-66.4325484113052,400.68834038239106
-38.563124542403536,587.7357010602051
-62.16233366532053,414.95757015949283
-65.95327451563097,401.2880428549324
-52.86519584208757,459.7214056509214
-72.95378875126187,383.91012014637863
-39.890150962298016,571.5221839119083
-76.27246781601146,377.2956152399491
-30.655653169974137,719.9419760515165
-41.38776153516713,555.4737595847513
-70.06421592329139,390.29110717480614
-79.72389414381988,372.4000606893548
-39.22692857725829,579.5117629333647
-44.65713280761914,521.7177786678038
-43.54964159795063,532.3563189251173
-41.43648266570271,553.5061031482469
-76.29776741329547,377.68061210625547
-62.076713572786375,415.01611560079976
-74.20654702374351,380.39793816818724
-36.844828706220326,610.8998794880531
-48.8350936586221,486.81316711761013
