Wavelength_nm,Target_Angle,Period_nm
685.2142919229748,-48.72700594236812,607.8028735787354
579.597545259111,-66.59969709057026,421.0267501764823
446.7983561008608,-37.80093202212183,485.97796771884754
659.8528437324806,-32.90418060840997,809.7808858228426
612.4217733388136,-60.05575058716044,471.17802568366017
690.9729556485984,-31.02922471479012,893.6387594763496
463.70173320348283,-71.62213204002109,325.74834882611736
455.0213529560301,-39.09124836035503,481.0785419093667
557.4269294896714,-45.21211214797688,523.6122999526028
487.36874205941257,-51.59725093210579,414.6070743791963
441.84815819561254,-60.59264473611897,338.13370074611083
509.90855298810754,-44.60723242676091,484.0761261373495
635.5527884179041,-52.8034992108518,531.9099880887811
554.2703315240835,-39.98368910791799,575.0561616972325
413.9351238159993,-59.620728443102124,319.8769090777456
451.15723710618744,-60.37724259507192,345.99327172556804
684.665661176,-33.25257964926398,832.4239790435138
642.5192044349383,-78.28160165372796,437.4639154960589
429.30163420191514,-45.23068845866854,403.12962423244886
532.0457481218804,-64.21165132560785,393.9297045424374
548.553073033381,-36.10191174223894,620.651013634171
672.7961206236346,-31.71942605576092,853.1091613742672
598.7566853061946,-42.93899908000085,585.9656479712801
556.0204063533432,-45.58555380447055,518.9447261111638
455.4563366576581,-57.33551396716398,360.68086698841336
632.5398470083344,-78.47923138822793,430.3640455049221
668.4482051282946,-76.97494707820945,457.40031011098705
676.562270506935,-59.89499894055426,521.3703951825289
458.79485872574355,-34.424625102595975,541.0429251513502
497.5990992289793,-32.2613644455269,621.4757627528289
481.4047095321688,-49.4338644844741,422.47616310475917
507.0259980080768,-71.43687545759647,356.5683362166574
562.8088249474745,-44.046725484369034,539.6745133276722
640.6590942262119,-37.04621124873813,708.9380238161119
696.0660809801552,-33.727532183988544,835.7477739050471
459.61470446025174,-68.61223846483287,329.0717457251924
644.6384285364502,-30.27610585618012,852.4130135597078
618.7021504122962,-65.34286719238085,453.84987781688335
422.2133955202271,-68.56351733429729,302.39423386593205
434.7607178575389,-47.923286427213625,390.4899412845947
586.9894380482674,-73.15517129377967,408.8696354792172
419.0675050858071,-46.54490124263246,384.8644507727227
497.5549966080241,-45.54911608578311,464.667438859851
591.2672414065639,-66.4803089169032,429.8923348442241
541.6644775485847,-74.36063712881634,374.992789064654
613.9734361668985,-35.97971229691508,696.7089242454938
568.3831592708489,-68.03925243084487,408.5676639245971
548.1386789093173,-68.54835899772806,392.62421083152594
528.2623055075649,-56.1366414690997,424.11862028722373
432.36742809799136,-31.27095633720476,555.2933426907506
590.9231233791342,-31.57145928433671,752.4401540617738
552.5712073494108,-45.717799053816336,514.5632525517017
474.7876687446625,-75.37832369630465,327.11928343670456
626.6653415629146,-50.519146151781484,541.2759990817269
423.0939729486379,-41.43990827458112,426.1832601284911
448.36638617620133,-44.4875726456884,426.5558122074387
642.436113869325,-76.48488261712865,440.4886247620553
661.4381770563153,-61.67018782552117,500.95827901300873
455.97101766581073,-70.18360384495573,323.1142799300533
561.8026725746952,-74.62794992449889,388.4313101845125
668.8273899770479,-70.37200775820313,473.3921072757911
433.015577358303,-45.90017374859319,401.98528329210154
528.1323365878769,-41.39675812709709,532.4429237124469
658.2191749769031,-70.90073829612466,464.37518441763325
553.2241907732697,-30.347606526559535,729.9750542346399
466.63234314121905,-50.87055015743895,401.0304888966496
501.2845514210884,-35.99326836668414,568.6494387119285
496.96087960622657,-77.14548519562595,339.8238791026974
610.9056876685534,-55.939531087168305,491.6071679840051
691.5346248162882,-48.1814801189647,618.6066128698112
475.53468874760927,-78.12236474710556,323.95928858173284
490.2634929450309,-54.86242529461927,399.6739287750664
411.06608420635985,-44.24202471887338,392.787287378768
550.8037069686584,-60.47821669899484,421.99011543173117
483.5939392709834,-32.57393756249947,598.8176702880734
471.8685672000917,-75.41329429833269,325.0563817488717
546.8358280832689,-37.24474360456115,602.3539224963679
472.6165814534501,-79.28252270553003,320.6714770924039
628.4858845986153,-63.606777370293926,467.7464450659403
618.4649045835579,-41.881877199619986,617.6029521763179
589.6917491780739,-48.389156635962664,525.8022341586311
560.7324052224276,-61.67648553804473,424.6608489349463
650.5907486767715,-34.51448850272041,765.4711907023918
455.9555531199563,-46.039003248586795,422.29103230547605
577.2678829564725,-32.0387570777382,725.4485991485337
404.9763486783568,-63.87821809211412,300.6973848760249
467.94873255938137,-55.60465291496405,378.06735384822434
452.3099287014974,-62.25863952047249,340.70084465120084
516.0206038901613,-64.5468869051233,380.9940541275054
441.25628324379795,-76.83649943683673,302.10901986931805
434.0420563721767,-47.05331755251292,395.3088835941524
663.2018060142943,-76.23468091392814,455.20882424485063
597.9952138102537,-42.89708138575778,585.6810764082123
566.5602434798387,-70.8611100100608,399.8054378277107
472.55568727013554,-56.48252891780032,377.8703596010538
669.164727385998,-34.65513839029496,784.5266795660143
589.9304371819803,-75.02090285816652,407.12084912383807
504.76287238379825,-46.951489552435035,460.4811530890811
669.1330779857731,-66.29778394351197,487.1841398350411
633.9626637572871,-74.35432121325587,438.90410986893755
425.24198949851467,-62.10158230771439,320.77567272891014
669.5662565581238,-38.08143570473069,723.7213838473039
402.7591154849889,-60.321452982979494,309.0479209947157
599.0505307324167,-35.073577143301605,695.0011106073376
448.2424154252496,-30.253079192310935,593.1246066892345
607.568559307808,-57.436689468329305,480.5968661530409
467.28079283816794,-62.59806297513003,350.89050400819184
471.17472624904,-65.6089610673768,344.89935168602835
623.9474215354072,-46.26998490796339,575.646278212714
654.7670231482534,-62.48164495236073,492.197121587843
570.4925810006415,-62.88064461501717,427.307004953063
510.31474091783,-34.683738391404624,597.8598060393863
473.19689301372506,-43.26011838408627,460.3228532191302
517.9293174000281,-78.65052773762227,352.1729168699168
589.3415877991788,-74.60232775885567,407.521904790226
550.7911279315576,-69.74056517708243,391.4088570405387
547.7553081456592,-58.845194231317954,426.7140618846267
616.7356345784516,-39.76214938990223,642.832696091957
407.29478992943615,-44.03861812204279,390.61004365650456
453.1332038221147,-62.27361479535839,341.27407316009567
686.1785731007762,-77.02292921764572,469.44192411533663
511.0476100766333,-75.74321951102243,351.5247457451368
678.4955687763177,-30.77283082644337,884.0871731760436
689.9964457131009,-51.409207415865716,588.51770294383
655.9028366402081,-78.18099885446264,446.7396540276485
515.5293185805776,-44.72244460347928,488.4174431916122
495.0766015468833,-72.55683357584284,345.9601266266174
567.0403787375051,-38.474637334304624,607.5960692451209
608.8089390024919,-76.80773870803904,416.8740418471387
429.1529481312306,-58.50305850446825,335.5373335147952
697.0161550312789,-60.750361334958484,532.5821456916791
555.498895709121,-37.0042007618262,615.2996449795215
622.2305853262613,-73.86865359639776,431.82240774309264
610.7452251961328,-64.8507870497634,449.80295577172984
488.077553279348,-47.97455756098776,438.0239310695344
643.0340184037542,-70.46805777392568,454.86440484261186
673.9721657669413,-73.35361592900519,468.96879995688835
550.4548884061599,-55.56711994304689,444.92574461750394
594.9891792333295,-69.91475894833876,422.3453368688556
638.7378008308303,-65.09834386288517,469.4710593014264
501.39854705546077,-74.50026709087831,346.88117711103683
428.1945819522607,-48.779147631997205,379.51673982925576
410.78268213902265,-58.9140070498087,319.7772683226389
562.793390412273,-53.27990090662301,468.0782576138438
577.2499781707032,-44.327062606414216,550.7427948159495
411.2044566247643,-31.52501249695247,524.2907775983981
508.05719242337886,-71.13002803298292,357.94241349287284
556.6729780164413,-36.35302563259424,626.0815115476696
464.74630824905296,-68.49967765493054,333.0026962743666
425.60423949813037,-61.14452379095002,323.95896466083786
559.4063894704444,-32.58408605843039,692.5016303830084
591.2289704494619,-57.031756080505325,469.80412219447436
692.7556238387604,-66.30456668613309,504.35709554364917
496.8869418823738,-55.81501741505977,400.4434247818898
481.24967537862227,-69.75930973843518,341.94932096592595
423.53691440267977,-51.9485710352818,358.5689764659521
688.7945244033775,-31.267537170772876,884.711883329628
608.7922618281094,-71.79900602561028,427.2376458343436
451.98829602125375,-50.44764722071349,390.80246855877414
475.0728694493786,-37.8218521335543,516.4887875403633
614.3787768100187,-57.46133323530603,485.85045236779035
483.98016908378287,-63.009868835886564,362.0906555480108
621.3690750087305,-77.7432640331597,423.90855588735684
583.5162238703057,-57.717702625570034,460.1353705972553
474.31929685034726,-50.980003121389494,407.0049824355722
627.3538331393107,-47.79863393256308,564.58198692213
434.82179215207486,-30.719674431487793,567.4619181847673
412.218640695691,-32.30013210108764,514.2887931177111
611.0973578140071,-72.77302920055035,426.53290658581375
429.3502481953004,-53.70869145436626,355.12044527082054
542.0415312341697,-54.58079375584162,443.42389992496066
530.1554947713919,-38.66009349550076,565.7717289047679
584.7550294156649,-49.92523671986867,509.4538926921039
413.59120293161334,-61.75468254338219,312.99609603633843
587.7579747142709,-48.73063073132356,521.327642632811
656.9469523564967,-55.15681292900439,533.63543836567
448.8803281244289,-62.93468158094725,336.0555361066914
592.7257834618947,-33.52843737002149,715.3977598087966
575.732674382039,-31.32556552708109,738.2603294100007
572.6422533627637,-77.01151207124788,391.78523217145033
592.986465532706,-49.4084963103261,520.5966195012994
563.6850367947804,-52.91264452457583,471.0818625560481
515.8307913402323,-77.07324043882626,352.8290029451181
671.6051925868192,-78.05952819119571,457.6386842284954
420.80839026254966,-39.78955673946482,438.3628581874036
405.4665476954649,-35.038900068871335,470.81649830151815
604.902032024907,-34.72214803779642,707.9879617356323
495.6926890881284,-33.55943242301145,597.7944896710113
406.9815807207478,-72.24376554847274,284.8925900428367
484.55643243201996,-70.72342412944678,342.224073333397
609.0211496092452,-35.90824138108281,692.2792962884125
